bigg_id,ID
LalaDgluMdapDala_c,LalaDgluMdapDala_c
Nmtrp_c,cpd:C02983_c
aacoa_c,cpd:C00332_c
acald_c,cpd:C00084_c
accoa_c,cpd:C00024_c
acetol_c,cpd:C05235_c
acg5p_c,cpd:C04133_c
acgam_c,cpd:C00140_c
acgam1p_c,cpd:C04256_c
acglu_c,cpd:C00624_c
acmalt_c,cpd:C02130_c
acnam_c,cpd:C00270_c
aconm_c,cpd:C11514_c
acorn_c,cpd:C00437_c
acser_c,cpd:C00979_c
actp_c,cpd:C00227_c
adocbi_c,cpd:C06508_c
adp_c,cpd:C00008_c
adpglc_c,cpd:C00498_c
adprib_c,cpd:C00301_c
ag_c,cpd:C06710_c
agdpcbi_c,cpd:C06510_c
agm_c,cpd:C00179_c
ahdt_c,cpd:C04895_c
air_c,air_c
akg_c,cpd:C00026_c
ala_B_c,cpd:C00099_c
ala__L_c,cpd:C00041_c
alac__S_c,cpd:C06010_c
alatrna_c,alatrna_c
all__D_c,cpd:C01487_c
all6p_c,cpd:C02962_c
alltt_c,cpd:C00499_c
amet_c,cpd:C00019_c
ametam_c,cpd:C01137_c
amob_c,cpd:C04425_c
amp_c,cpd:C00020_c
anhgm4p_c,anhgm4p_c
ap4a_c,cpd:C01260_c
apg120_c,apg120_c
apg140_c,apg140_c
apg141_c,apg141_c
apg160_c,apg160_c
apg161_c,apg161_c
apg180_c,apg180_c
apg181_c,apg181_c
arab__L_c,cpd:C11476_c
aragund_c,aragund_c
arbt6p_c,cpd:C06187_c
arbtn_c,arbtn_c
argsuc_c,cpd:C03406_c
argtrna_c,cpd:C02163_c
ascb6p_c,cpd:C16186_c
asntrna_c,cpd:C03402_c
aso3_c,cpd:C06697_c
aso4_c,cpd:C01478_c
asp__L_c,cpd:C00049_c
aspsa_c,cpd:C00441_c
athr__L_c,cpd:C05519_c
b2coa_c,cpd:C00877_c
bbtcoa_c,cpd:C20749_c
bmocogdp_c,bmocogdp_c
btal_c,cpd:C01412_c
btcoa_c,cpd:C00136_c
btn_c,cpd:C00120_c
btnso_c,cpd:C20386_c
but_c,but_c
butso3_c,butso3_c
bwcogdp_c,bwcogdp_c
cbasp_c,cpd:C00438_c
cbi_c,cbi_c
cbp_c,cpd:C00169_c
cd2_c,cpd:C15233_c
cddec5eACP_c,cddec5eACP_c
cdpdddecg_c,cdpdddecg_c
cdpdodecg_c,cdpdodecg_c
cdpdtdecg_c,cdpdtdecg_c
cenchddd_c,cpd:C12622_c
chtbs6p_c,cpd:C21152_c
cl_c,cpd:C00698_c
cmp_c,cpd:C00055_c
coa_c,cpd:C00010_c
cpe160_c,cpe160_c
cpe180_c,cpe180_c
cpg180_c,cpg180_c
crn_c,cpd:C00318_c
crn__D_c,cpd:C15025_c
csn_c,cpd:C00380_c
ctbt_c,cpd:C04114_c
ctbtcoa_c,cpd:C20748_c
ctp_c,cpd:C00063_c
cu2_c,cpd:C00070_c
cys__D_c,cpd:C00793_c
cys__L_c,cpd:C00097_c
cyst__L_c,cpd:C02291_c
cystrna_c,cpd:C03125_c
cytd_c,cpd:C00475_c
dann_c,cpd:C01037_c
datp_c,cpd:C00131_c
db4p_c,cpd:C15556_c
dcaACP_c,dcaACP_c
dcamp_c,cpd:C03794_c
dcyt_c,cpd:C00881_c
ddca_c,ddca_c
ddcacoa_c,cpd:C01832_c
ddcap_c,ddcap_c
dgdp_c,cpd:C00361_c
dgmp_c,cpd:C00362_c
dgslnt_c,cpd:C18870_c
dgtp_c,cpd:C00286_c
dha_c,cpd:C00184_c
dhgly_c,cpd:C15809_c
dhmpt_c,dhmpt_c
dhmptp_c,cpd:C21094_c
dhna_c,cpd:C03657_c
dhnpt_c,cpd:C04874_c
dhpmp_c,cpd:C05925_c
dhpppn_c,cpd:C04044_c
dhptdn_c,cpd:C05649_c
dimp_c,cpd:C06196_c
din_c,cpd:C05512_c
ditp_c,cpd:C01345_c
dmbzid_c,cpd:C03114_c
dmlz_c,cpd:C04332_c
dmpp_c,cpd:C00235_c
dsbdrd_c,dsbdrd_c
dtdp4addg_c,cpd:C04346_c
dtdpglu_c,cpd:C00842_c
dtmp_c,cpd:C00364_c
dttp_c,cpd:C00459_c
dudp_c,cpd:C01346_c
dump_c,cpd:C00365_c
duri_c,cpd:C00526_c
dutp_c,cpd:C00460_c
eig3p_c,cpd:C04666_c
enter_c,cpd:C05821_c
etoh_c,cpd:C00469_c
f1p_c,cpd:C01094_c
fad_c,cpd:C00016_c
fadh2_c,cpd:C01352_c
fald_c,cpd:C00067_c
fc1p_c,cpd:C01099_c
fe2_c,cpd:C14818_c
fe3_c,cpd:C14819_c
fe3hox_c,cpd:C06227_c
fecrm_c,cpd:C06228_c
feoxam_c,cpd:C06940_c
feoxam_un_c,feoxam_un_c
fgam_c,cpd:C04376_c
flxso_c,flxso_c
fmn_c,cpd:C00061_c
forcoa_c,cpd:C00798_c
fpram_c,fpram_c
frdp_c,cpd:C00448_c
fru_c,cpd:C00095_c
frulys_c,cpd:C16488_c
frulysp_c,frulysp_c
fruur_c,cpd:C00905_c
fuc__L_c,fuc__L_c
g1p_c,cpd:C00103_c
g3p_c,cpd:C00118_c
g3pc_c,cpd:C00670_c
g3pe_c,cpd:C01233_c
g3pi_c,cpd:C01225_c
g3ps_c,g3ps_c
gagicolipa_c,gagicolipa_c
galur_c,cpd:C00333_c
gar_c,cpd:C03838_c
garagund_c,garagund_c
gbbtn_c,cpd:C01181_c
gdp_c,cpd:C00035_c
gdpddman_c,cpd:C01222_c
gdpmann_c,cpd:C00096_c
gdpofuc_c,gdpofuc_c
gdptp_c,cpd:C04494_c
gfgaragund_c,gfgaragund_c
ggagicolipa_c,ggagicolipa_c
ggbutal_c,cpd:C15700_c
gggagicolipa_c,gggagicolipa_c
ghb_c,cpd:C00989_c
gicolipa_c,gicolipa_c
glc__D_c,cpd:C00031_c
glcn_c,cpd:C00257_c
glcr_c,cpd:C00818_c
glcur_c,cpd:C00191_c
gln__L_c,cpd:C00064_c
glu__D_c,cpd:C00217_c
glu__L_c,cpd:C00025_c
glu1sa_c,cpd:C03741_c
glu5p_c,cpd:C03287_c
glyald_c,cpd:C00577_c
glyc_c,cpd:C00116_c
glyc__R_c,cpd:C00258_c
glyc2p_c,cpd:C02979_c
glyclt_c,cpd:C00160_c
glycogen_c,cpd:C00182_c
glytrna_c,cpd:C02412_c
gmhep1p_c,cpd:C07838_c
gmhep7p_c,cpd:C07836_c
gp4g_c,cpd:C01261_c
grdp_c,cpd:C00341_c
grxrd_c,grxrd_c
gslnt_c,gslnt_c
gsn_c,cpd:C00387_c
gthox_c,cpd:C00127_c
gtspmd_c,cpd:C05730_c
gua_c,cpd:C00242_c
h_c,cpd:C00080_c
h2_c,cpd:C00282_c
h2o_c,cpd:C00001_c
hcys__L_c,cpd:C00155_c
hdca_c,cpd:C00249_c
hdcea_c,hdcea_c
hdceap_c,hdceap_c
hdd2coa_c,cpd:C05272_c
hexACP_c,hexACP_c
hg2_c,cpd:C00703_c
hhlipa_c,hhlipa_c
his__L_c,cpd:C00135_c
histd_c,cpd:C00860_c
hkndd_c,cpd:C04479_c
hkntd_c,cpd:C12624_c
hlipa_c,hlipa_c
hmgth_c,cpd:C14180_c
hom__L_c,cpd:C00263_c
hphhlipa_c,hphhlipa_c
hqn_c,cpd:C00530_c
hxan_c,cpd:C00262_c
hxcoa_c,hxcoa_c
ichor_c,cpd:C00885_c
icit_c,cpd:C00311_c
icolipa_c,icolipa_c
idon__L_c,cpd:C00770_c
idp_c,cpd:C00104_c
ile__L_c,cpd:C00407_c
imacp_c,cpd:C01267_c
imp_c,cpd:C00130_c
indole_c,cpd:C00463_c
iscu_c,iscu_c
iscu_2fe2s_c,iscu_2fe2s_c
isetac_c,cpd:C05123_c
itp_c,cpd:C00081_c
k_c,cpd:C00238_c
kdo2lipid4L_c,cpd:C06251_c
kdo8p_c,cpd:C04478_c
kdolipid4_c,cpd:C06024_c
lald__D_c,cpd:C00937_c
lcts_c,cpd:C00243_c
lgt__S_c,cpd:C03451_c
lipa_c,cpd:C06026_c
lipa_cold_c,lipa_cold_c
lipidAds_c,cpd:C04932_c
lipidX_c,cpd:C04824_c
lipopb_c,lipopb_c
lystrna_c,cpd:C01931_c
malcoame_c,malcoame_c
malt_c,cpd:C00208_c
malt6p_c,cpd:C02995_c
malthx_c,cpd:C01936_c
maltpt_c,maltpt_c
maltttr_c,cpd:C02013_c
man1p_c,cpd:C00636_c
man6pglyc_c,cpd:C16699_c
mana_c,cpd:C00514_c
mdhdhf_c,mdhdhf_c
mercppyr_c,cpd:C00957_c
met__D_c,cpd:C00855_c
met__L_c,cpd:C00073_c
methf_c,cpd:C00445_c
metsox_S__L_c,cpd:C02989_c
mg2_c,cpd:C00305_c
mi1p__D_c,cpd:C01177_c
micit_c,cpd:C04593_c
mnl1p_c,cpd:C00644_c
moadcosh_c,moadcosh_c
mpt_c,cpd:C05924_c
mptamp_c,cpd:C19848_c
mqn8_c,mqn8_c
msa_c,cpd:C00222_c
mso3_c,cpd:C11145_c
myrsACP_c,myrsACP_c
n2o_c,cpd:C00887_c
nad_c,cpd:C00003_c
nadh_c,cpd:C00004_c
ni2_c,cpd:C14711_c
nicrnt_c,cpd:C01185_c
no2_c,cpd:C00088_c
o16aund_c,o16aund_c
o2s_c,cpd:C00704_c
oaa_c,cpd:C00036_c
oc2coa_c,cpd:C05276_c
ocACP_c,ocACP_c
occoa_c,cpd:C01944_c
ocdcap_c,ocdcap_c
ocdcea_c,cpd:C00712_c
ocdceap_c,ocdceap_c
odecoa_c,odecoa_c
op4en_c,cpd:C00596_c
opmeACP_c,opmeACP_c
orot5p_c,cpd:C01103_c
oxa_c,cpd:C00209_c
pa160_c,pa160_c
pa161_c,pa161_c
palmACP_c,palmACP_c
pant__R_c,cpd:C00522_c
paps_c,cpd:C00053_c
pdx5p_c,cpd:C00627_c
pe120_c,pe120_c
pe140_c,pe140_c
pe141_c,pe141_c
pe160_c,pe160_c
pe180_c,pe180_c
pep_c,cpd:C00074_c
pg120_c,pg120_c
pg141_c,pg141_c
pg161_c,pg161_c
pg181_c,pg181_c
pgp120_c,pgp120_c
pgp140_c,pgp140_c
pgp180_c,pgp180_c
pgp181_c,pgp181_c
phe__L_c,cpd:C00079_c
phom_c,cpd:C01102_c
pmtcoa_c,cpd:C00154_c
ppap_c,cpd:C02876_c
ppbng_c,cpd:C00931_c
ppgpp_c,cpd:C01228_c
pphn_c,cpd:C00254_c
ppp9_c,cpd:C02191_c
pppg9_c,cpd:C01079_c
pppi_c,cpd:C00536_c
pppn_c,cpd:C05629_c
preq0_c,cpd:C15996_c
preq1_c,cpd:C16675_c
prfp_c,cpd:C04896_c
prlp_c,cpd:C04916_c
pro__L_c,cpd:C00148_c
progly_c,progly_c
protrna_c,cpd:C02702_c
prpp_c,cpd:C00119_c
ps141_c,ps141_c
psclys_c,psclys_c
pser__L_c,cpd:C01005_c
ptrc_c,cpd:C00134_c
pydx_c,cpd:C00250_c
pydx5p_c,cpd:C00018_c
pyr_c,cpd:C00022_c
q8h2_c,q8h2_c
quin_c,cpd:C00296_c
quln_c,cpd:C03722_c
r15bp_c,cpd:C01151_c
r1p_c,cpd:C00620_c
r5p_c,cpd:C03736_c
rbflvrd_c,cpd:C01007_c
rbl__L_c,cpd:C00508_c
rdmbzi_c,cpd:C05775_c
rephaccoa_c,rephaccoa_c
rib__D_c,cpd:C00121_c
ribflv_c,cpd:C00255_c
rml_c,cpd:C00861_c
rml1p_c,cpd:C01131_c
rmn_c,cpd:C00507_c
s7p_c,cpd:C05382_c
sbt6p_c,cpd:C01096_c
sbzcoa_c,cpd:C03160_c
sel_c,cpd:C05697_c
seln_c,cpd:C01528_c
selnp_c,cpd:C05172_c
ser__D_c,cpd:C00740_c
ser__L_c,cpd:C00065_c
seramp_c,cpd:C05820_c
sheme_c,cpd:C00748_c
sl2a6o_c,cpd:C04462_c
so4_c,cpd:C00059_c
spmd_c,cpd:C00315_c
stcoa_c,cpd:C00412_c
suc6p_c,cpd:C02591_c
sucarg_c,cpd:C03296_c
succ_c,cpd:C00042_c
succoa_c,cpd:C00091_c
suchms_c,cpd:C01118_c
sucorn_c,cpd:C03415_c
sufbcd_c,sufbcd_c
sufse_c,sufse_c
sufsesh_c,sufsesh_c
t3c11vaceACP_c,t3c11vaceACP_c
t3c9palmeACP_c,t3c9palmeACP_c
tag6p__D_c,cpd:C01097_c
tagdp__D_c,cpd:C03785_c
tartr__D_c,cpd:C02107_c
taur_c,cpd:C00245_c
td2coa_c,cpd:C05273_c
tdeACP_c,tdeACP_c
thr__L_c,cpd:C00188_c
thrtrna_c,cpd:C02992_c
thymd_c,cpd:C00214_c
tma_c,cpd:C00565_c
tmao_c,cpd:C01104_c
toct2eACP_c,cpd:C05751_c
toctd2eACP_c,cpd:C16221_c
trdox_c,cpd:C00343_c
trdrd_c,cpd:C00342_c
tre_c,cpd:C01083_c
trnaarg_c,cpd:C01636_c
trnacys_c,cpd:C01639_c
trnaglu_c,cpd:C01641_c
trnagly_c,cpd:C01642_c
trnahis_c,cpd:C01643_c
trnapro_c,cpd:C01649_c
trnaser_c,cpd:C01650_c
trnathr_c,cpd:C01651_c
trnatrp_c,cpd:C01652_c
ttdcea_c,ttdcea_c
ttdceap_c,ttdceap_c
u3aga_c,cpd:C04738_c
u3hga_c,cpd:C06022_c
uLa4n_c,uLa4n_c
uaccg_c,cpd:C04631_c
uacmamu_c,cpd:C06240_c
uagmda_c,cpd:C05897_c
uama_c,cpd:C01212_c
uamag_c,cpd:C00692_c
uamr_c,cpd:C01050_c
udcpdp_c,udcpdp_c
udp_c,cpd:C00015_c
udpLa4fn_c,cpd:C16154_c
udpg_c,cpd:C00029_c
ugmda_c,cpd:C04882_c
um4p_c,um4p_c
ump_c,cpd:C00105_c
unaga_c,cpd:C01289_c
unagamuf_c,unagamuf_c
uppg3_c,cpd:C01051_c
ura_c,cpd:C00106_c
uracp_c,cpd:C20231_c
urea_c,cpd:C00086_c
uri_c,cpd:C00299_c
utp_c,cpd:C00075_c
wco_c,wco_c
xan_c,cpd:C00385_c
xmp_c,cpd:C00655_c
xtp_c,cpd:C00700_c
xu5p__L_c,cpd:C03291_c
xylu__L_c,cpd:C00310_c
zn2_c,cpd:C00038_c
12ppd__S_e,cpd:C02917_e
14glucan_e,14glucan_e
15dap_e,cpd:C01672_e
26dap__M_e,cpd:C00680_e
3amp_e,cpd:C01367_e
3hpp_e,cpd:C01013_e
3hpppn_e,cpd:C11457_e
4hoxpacd_e,cpd:C03765_e
5mtr_e,cpd:C03089_e
LalaDglu_e,cpd:C20957_e
LalaDgluMdapDala_e,LalaDgluMdapDala_e
acald_e,cpd:C00084_e
acgal_e,cpd:C01132_e
acgam_e,cpd:C00140_e
acgam1p_e,cpd:C04256_e
acmum_e,cpd:C02713_e
acnam_e,cpd:C00270_e
acolipa_e,acolipa_e
acser_e,cpd:C00979_e
ag_e,cpd:C06710_e
agm_e,cpd:C00179_e
akg_e,cpd:C00026_e
ala_B_e,cpd:C00099_e
ala__L_e,cpd:C00041_e
all__D_e,cpd:C01487_e
amp_e,cpd:C00020_e
arab__L_e,cpd:C11476_e
arbtn_e,arbtn_e
aso3_e,cpd:C06697_e
asp__L_e,cpd:C00049_e
btn_e,cpd:C00120_e
but_e,but_e
butso3_e,butso3_e
cbi_e,cbi_e
cd2_e,cpd:C15233_e
cl_e,cpd:C00698_e
cm_e,cpd:C00918_e
cmp_e,cpd:C00055_e
crn_e,cpd:C00318_e
crn__D_e,cpd:C15025_e
csn_e,cpd:C00380_e
cu2_e,cpd:C00070_e
cys__D_e,cpd:C00793_e
cys__L_e,cpd:C00097_e
cytd_e,cpd:C00475_e
dcyt_e,cpd:C00881_e
ddca_e,ddca_e
dgmp_e,cpd:C00362_e
dha_e,cpd:C00184_e
dimp_e,cpd:C06196_e
din_e,cpd:C05512_e
doxrbcn_e,cpd:C01661_e
dtmp_e,cpd:C00364_e
dump_e,cpd:C00365_e
duri_e,cpd:C00526_e
eca4colipa_e,eca4colipa_e
enlipa_e,cpd:C21173_e
enter_e,cpd:C05821_e
etoh_e,cpd:C00469_e
fald_e,cpd:C00067_e
fe2_e,cpd:C14818_e
fe3_e,cpd:C14819_e
fe3dcit_e,cpd:C06229_e
fe3hox_e,cpd:C06227_e
fecrm_e,cpd:C06228_e
feoxam_e,cpd:C06940_e
feoxam_un_e,feoxam_un_e
fru_e,cpd:C00095_e
frulys_e,cpd:C16488_e
fruur_e,cpd:C00905_e
fuc__L_e,fuc__L_e
g1p_e,cpd:C00103_e
g3pc_e,cpd:C00670_e
g3pe_e,cpd:C01233_e
g3pi_e,cpd:C01225_e
g3ps_e,g3ps_e
galt_e,cpd:C01697_e
galur_e,cpd:C00333_e
gam_e,cpd:C00329_e
gbbtn_e,cpd:C01181_e
gdp_e,cpd:C00035_e
glc__D_e,cpd:C00031_e
glcn_e,cpd:C00257_e
glcr_e,cpd:C00818_e
glcur_e,cpd:C00191_e
glcur1p_e,cpd:C05385_e
gln__L_e,cpd:C00064_e
glu__L_e,cpd:C00025_e
glyald_e,cpd:C00577_e
glyc_e,cpd:C00116_e
glyc__R_e,cpd:C00258_e
glyc2p_e,cpd:C02979_e
glyclt_e,cpd:C00160_e
gsn_e,cpd:C00387_e
gthox_e,cpd:C00127_e
gua_e,cpd:C00242_e
h_e,cpd:C00080_e
h2_e,cpd:C00282_e
h2o_e,cpd:C00001_e
hacolipa_e,hacolipa_e
halipa_e,halipa_e
hdca_e,cpd:C00249_e
hdcea_e,hdcea_e
hg2_e,cpd:C00703_e
his__L_e,cpd:C00135_e
hom__L_e,cpd:C00263_e
hxan_e,cpd:C00262_e
idon__L_e,cpd:C00770_e
ile__L_e,cpd:C00407_e
imp_e,cpd:C00130_e
indole_e,cpd:C00463_e
isetac_e,cpd:C05123_e
k_e,cpd:C00238_e
lcts_e,cpd:C00243_e
lipa_e,cpd:C06026_e
lipa_cold_e,lipa_cold_e
malt_e,cpd:C00208_e
malthx_e,cpd:C01936_e
maltpt_e,maltpt_e
maltttr_e,cpd:C02013_e
met__D_e,cpd:C00855_e
met__L_e,cpd:C00073_e
metsox_S__L_e,cpd:C02989_e
mg2_e,cpd:C00305_e
mincyc_e,cpd:C07225_e
minohp_e,cpd:C01204_e
mnl_e,cpd:C00392_e
mso3_e,cpd:C11145_e
n2o_e,cpd:C00887_e
ni2_e,cpd:C14711_e
no2_e,cpd:C00088_e
novbcn_e,cpd:C05080_e
o16a4colipa_e,o16a4colipa_e
o2s_e,cpd:C00704_e
ocdcea_e,cpd:C00712_e
peamn_e,cpd:C05332_e
phe__L_e,cpd:C00079_e
pppn_e,cpd:C05629_e
pro__L_e,cpd:C00148_e
progly_e,progly_e
psclys_e,psclys_e
pser__L_e,cpd:C01005_e
ptrc_e,cpd:C00134_e
pydx_e,cpd:C00250_e
pyr_e,cpd:C00022_e
quin_e,cpd:C00296_e
r5p_e,cpd:C03736_e
rfamp_e,cpd:C06688_e
rib__D_e,cpd:C00121_e
rmn_e,cpd:C00507_e
sbt__D_e,cpd:C00794_e
sel_e,cpd:C05697_e
ser__D_e,cpd:C00740_e
ser__L_e,cpd:C00065_e
so4_e,cpd:C00059_e
spmd_e,cpd:C00315_e
succ_e,cpd:C00042_e
sucr_e,cpd:C00089_e
tartr__D_e,cpd:C02107_e
taur_e,cpd:C00245_e
thr__L_e,cpd:C00188_e
thrp_e,cpd:C12147_e
thymd_e,cpd:C00214_e
tma_e,cpd:C00565_e
tmao_e,cpd:C01104_e
tre_e,cpd:C01083_e
ttdcea_e,ttdcea_e
tyrp_e,cpd:C06501_e
udpacgal_e,cpd:C00203_e
udpg_e,cpd:C00029_e
ump_e,cpd:C00105_e
ura_e,cpd:C00106_e
urea_e,cpd:C00086_e
uri_e,cpd:C00299_e
xan_e,cpd:C00385_e
xmp_e,cpd:C00655_e
xylu__L_e,cpd:C00310_e
zn2_e,cpd:C00038_e
12dgr120_p,12dgr120_p
12dgr140_p,12dgr140_p
12dgr161_p,12dgr161_p
12dgr180_p,12dgr180_p
12ppd__S_p,cpd:C02917_p
14glucan_p,14glucan_p
15dap_p,cpd:C01672_p
1agpe140_p,1agpe140_p
1agpe141_p,1agpe141_p
1agpe160_p,1agpe160_p
1agpe181_p,1agpe181_p
1agpg120_p,1agpg120_p
1agpg160_p,1agpg160_p
1ddecg3p_p,1ddecg3p_p
1hdec9eg3p_p,1hdec9eg3p_p
1hdecg3p_p,1hdecg3p_p
1odec11eg3p_p,1odec11eg3p_p
26dap__M_p,cpd:C00680_p
2agpe141_p,2agpe141_p
2agpe160_p,2agpe160_p
2agpe181_p,2agpe181_p
2agpg120_p,2agpg120_p
2agpg140_p,2agpg140_p
2agpg160_p,2agpg160_p
2agpg161_p,2agpg161_p
2agpg180_p,2agpg180_p
2agpg181_p,2agpg181_p
2hdecg3p_p,2hdecg3p_p
2odecg3p_p,2odecg3p_p
2tdecg3p_p,2tdecg3p_p
3amp_p,cpd:C01367_p
3hpp_p,cpd:C01013_p
3hpppn_p,cpd:C11457_p
4hoxpacd_p,cpd:C03765_p
5mtr_p,cpd:C03089_p
LalaDglu_p,cpd:C20957_p
LalaDgluMdapDala_p,LalaDgluMdapDala_p
acald_p,cpd:C00084_p
acgal_p,cpd:C01132_p
acgam_p,cpd:C00140_p
acgam1p_p,cpd:C04256_p
acmum_p,cpd:C02713_p
acnam_p,cpd:C00270_p
acolipa_p,acolipa_p
acser_p,cpd:C00979_p
agm_p,cpd:C00179_p
akg_p,cpd:C00026_p
ala_B_p,cpd:C00099_p
ala__L_p,cpd:C00041_p
all__D_p,cpd:C01487_p
alpp_p,alpp_p
amp_p,cpd:C00020_p
anhgm4p_p,anhgm4p_p
arab__L_p,cpd:C11476_p
arbtn_p,arbtn_p
aso3_p,cpd:C06697_p
asp__L_p,cpd:C00049_p
btn_p,cpd:C00120_p
but_p,but_p
butso3_p,butso3_p
cbi_p,cbi_p
cd2_p,cpd:C15233_p
cl_p,cpd:C00698_p
clpn140_p,clpn140_p
clpn141_p,clpn141_p
clpn181_p,clpn181_p
cm_p,cpd:C00918_p
cmp_p,cpd:C00055_p
crn_p,cpd:C00318_p
crn__D_p,cpd:C15025_p
csn_p,cpd:C00380_p
ctbt_p,cpd:C04114_p
cu2_p,cpd:C00070_p
cys__D_p,cpd:C00793_p
cys__L_p,cpd:C00097_p
cytd_p,cpd:C00475_p
dcyt_p,cpd:C00881_p
ddca_p,ddca_p
dgmp_p,cpd:C00362_p
dha_p,cpd:C00184_p
dimp_p,cpd:C06196_p
din_p,cpd:C05512_p
doxrbcn_p,cpd:C01661_p
dsbaox_p,dsbaox_p
dsbcox_p,dsbcox_p
dtmp_p,cpd:C00364_p
dump_p,cpd:C00365_p
duri_p,cpd:C00526_p
eca2und_p,eca2und_p
eca4colipa_p,eca4colipa_p
enlipa_p,cpd:C21173_p
enter_p,cpd:C05821_p
etoh_p,cpd:C00469_p
fald_p,cpd:C00067_p
fe2_p,cpd:C14818_p
fe3_p,cpd:C14819_p
fe3dcit_p,cpd:C06229_p
fe3hox_p,cpd:C06227_p
fecrm_p,cpd:C06228_p
feoxam_p,cpd:C06940_p
feoxam_un_p,feoxam_un_p
fru_p,cpd:C00095_p
frulys_p,cpd:C16488_p
fruur_p,cpd:C00905_p
fuc__L_p,fuc__L_p
g1p_p,cpd:C00103_p
g3pc_p,cpd:C00670_p
g3pe_p,cpd:C01233_p
g3pi_p,cpd:C01225_p
g3ps_p,g3ps_p
galt_p,cpd:C01697_p
galur_p,cpd:C00333_p
gam_p,cpd:C00329_p
gbbtn_p,cpd:C01181_p
gdp_p,cpd:C00035_p
glc__D_p,cpd:C00031_p
glcn_p,cpd:C00257_p
glcr_p,cpd:C00818_p
glcur_p,cpd:C00191_p
glcur1p_p,cpd:C05385_p
gln__L_p,cpd:C00064_p
glu__L_p,cpd:C00025_p
glyald_p,cpd:C00577_p
glyc_p,cpd:C00116_p
glyc__R_p,cpd:C00258_p
glyc2p_p,cpd:C02979_p
glyclt_p,cpd:C00160_p
