bigg_id,ID
10fthf_c,cpd:C00234_c
12dgr120_c,12dgr120_c
12dgr140_c,12dgr140_c
12dgr161_c,12dgr161_c
12dgr180_c,12dgr180_c
12ppd__S_c,cpd:C02917_c
14dhncoa_c,14dhncoa_c
14glucan_c,14glucan_c
15dap_c,cpd:C01672_c
1ddecg3p_c,1ddecg3p_c
1hdec9eg3p_c,1hdec9eg3p_c
1hdecg3p_c,1hdecg3p_c
1odec11eg3p_c,1odec11eg3p_c
23ddhb_c,cpd:C04171_c
23dhba_c,cpd:C04030_c
23dhbzs_c,cpd:C04204_c
23dhdp_c,23dhdp_c
25dkglcn_c,cpd:C02780_c
26dap_LL_c,cpd:C00666_c
26dap__M_c,cpd:C00680_c
2agpe141_c,2agpe141_c
2agpe160_c,2agpe160_c
2agpe181_c,2agpe181_c
2agpg120_c,2agpg120_c
2agpg140_c,2agpg140_c
2agpg160_c,2agpg160_c
2agpg161_c,2agpg161_c
2agpg180_c,2agpg180_c
2agpg181_c,2agpg181_c
2aobut_c,cpd:C03508_c
2cpr5p_c,cpd:C01302_c
2dh3dgal6p_c,cpd:C01286_c
2dhp_c,cpd:C00966_c
2dmmql8_c,2dmmql8_c
2dr1p_c,cpd:C00672_c
2h3oppan_c,cpd:C01146_c
2hdecg3p_c,2hdecg3p_c
2mahmp_c,cpd:C04752_c
2mcacn_c,cpd:C04225_c
2obut_c,cpd:C00109_c
2odecg3p_c,2odecg3p_c
2ohph_c,cpd:C05811_c
2ombzl_c,2ombzl_c
2ommbl_c,2ommbl_c
2omph_c,cpd:C05812_c
2oph_c,cpd:C05810_c
2pg_c,cpd:C00631_c
2pglyc_c,cpd:C00988_c
2tdecg3p_c,2tdecg3p_c
35cgmp_c,cpd:C00942_c
3c2hmp_c,cpd:C04411_c
3c3hmp_c,cpd:C02504_c
3c4mop_c,cpd:C04236_c
3dhq_c,cpd:C00944_c
3haACP_c,cpd:C01271_c
3hadpcoa_c,cpd:C14145_c
3hbcoa_c,cpd:C01144_c
3hcddec5eACP_c,3hcddec5eACP_c
3hcmrs7eACP_c,3hcmrs7eACP_c
3hcpalm9eACP_c,3hcpalm9eACP_c
3hdcoa_c,cpd:C05264_c
3hddcoa_c,cpd:C05262_c
3hdecACP_c,cpd:C04619_c
3hhcoa_c,cpd:C05268_c
3hhdcoa_c,cpd:C05258_c
3hocoa_c,cpd:C05266_c
3hoctaACP_c,cpd:C16220_c
3hpp_c,cpd:C01013_c
3hpppn_c,cpd:C11457_c
3mop_c,cpd:C00671_c
3ocddec5eACP_c,3ocddec5eACP_c
3ocmrs7eACP_c,3ocmrs7eACP_c
3ocvac11eACP_c,3ocvac11eACP_c
3odcoa_c,cpd:C05265_c
3ohcoa_c,cpd:C05269_c
3ohdcoa_c,cpd:C05259_c
3ohodcoa_c,cpd:C16216_c
3opalmACP_c,cpd:C05762_c
3otdcoa_c,cpd:C05261_c
3oxdhscoa_c,cpd:C19945_c
3pg_c,cpd:C00197_c
4ahmmp_c,cpd:C01279_c
4crsol_c,cpd:C01468_c
4h2opntn_c,cpd:C03589_c
4mop_c,cpd:C00233_c
4mpetz_c,cpd:C04327_c
4ppcys_c,cpd:C04352_c
56dura_c,cpd:C00429_c
5aizc_c,cpd:C04751_c
5aop_c,cpd:C00430_c
5apru_c,cpd:C01268_c
5dh4dglc_c,cpd:C00679_c
5drib_c,5drib_c
5mta_c,cpd:C00170_c
5mtr_c,cpd:C03089_c
6hmhpt_c,cpd:C01300_c
6hmhptpp_c,cpd:C04807_c
6pgc_c,cpd:C00345_c
6pgl_c,cpd:C01236_c
LalaDglu_c,cpd:C20957_c
